meanings,caionWord
distance,aos
depth,aparos
activity,aprumon
speed,arambros
business,aramnon
reality,arancion
frequency,aratos
both,arax
width,araxesos
everything / all,ares
everywhere,arios
everyone / everybody / all,arnios
every / all,aros
ever / always,arusia
handful,arvebos
to manipulate,arvebuor
manipulation,arveburus
hand,arves
deal,arvesci
to deal,arvescor
dealer,arvescos
everyway,arvios
to grab,arvor
strength,ascamos
insanity,asiharnos
inability,asijostos
impatience,asiminor
impossibility,asistaustos
inventiveness,asithon
injustice,asiveos
indifference,asixedon
ownership,astascos
awareness,astauron
wisdom,astauros
possiblity,astaustos
consciousness,astavon
intelligence,asuffraton
aggressiveness,athemnuon
length,aubos
deadliness,aulvios
monster,aunamo
monstrous,aunamos
fear,auni
danger,aunia
dangerous,aunios
fearsome,auniscon
to fear,auniscor
afraid,auniscos
to frighten,aunor
leader,aunos
taser,aures
shock,auri
clarity,aurnos
shocking,auron
to shock,auror
when,ausia
justice,aveos
firmness,averos
responsibility,avevistos
genetics,avinnios
how / as / like / than,avios
freedom,avolnos
to shake,avor
which,ax
difference,axedon
absence,axenon
warmth,axion
heat,axiros
celsius,axirra / ax.
six,bei
six hundred,bei carax
six hundred times,bei caraxis
six hundredth,bei caraxos
six thousand,bei meti
six thousand times,bei metiis
six thousandth,bei metios
six times,beiis
sixteen,beimax
sixteen times,beimaxis
sixteenth,beimaxos
sixth,beios
sixty,beix
sixty eight times,beix abris
sixty eight,beix abro
sixty eighth,beix abros
sixty six,beix bei
sixty six times,beix beiis
sixty sixth,beix beios
sixty seven,beix cod
sixty seven times,beix codis
sixty seventh,beix codos
sixty one times,beix iratis
sixty first,beix iratos
sixty nine,beix iura
sixty nine times,beix iuris
sixty ninth,beix iuros
sixty three times,beix mis
sixty three,beix mo
sixty third,beix mos
sixty one,beix no
sixty five,beix poma
sixty five times,beix pomis
sixty fifth,beix pomos
sixty two,beix rax
sixty two times,beix raxis
sixty second,beix raxos
sixty four,beix seni
sixty fourth,beix senios
sixty four times,beix senis
sixty times,beixis
sixtieth,beixos
tooth,beles
bite,beli
bitter,belon
to bite,belor
dog,belos
down,cadi
hill,cadios
client,cadon
to lean,cador
of the people,caion
people,cais
human,caliora
earth,calios
to bury,caliscor
terrarium,calivi
which belongs to a terrarium,calivira
to dry,calnor
drug,calnus
to take drugs,calnuscor
drug user,calnuscos
to be dry,calor
bone,calus
skeleton,calusis
jungle,camios
poison,camo
thick,camos
poisonous,camos
to thicken,camuor
to fill,caor
full,caos
one hundred,carax
one hundred times,caraxis
one hundredth,caraxos
many,caros
to hang,cator
hate / hatred,cea
to hate,ceascor
enemy,ceascos
in / on / at,ci
to intermediate,ciabor
intermediation,ciabrus
understanding,ciarvon
to understand,ciarvor
under,ciatos
mirror,ciavos
to mirror,ciavoscor
to invade,ciculvor
invader,ciculvos
invasion,ciculvrus
invite,cidini
invitation,cidinirus
inclusive,cidinithon
to include,cidinithor
inclusion,cidinithrus
to invite,cidinor
to keep,ciemior
eye,cies
look,ciesci
to look,ciescor
glass,ciesion
impressive,cihebon
to impress,cihebor
impressed,cihebos
impression,cihebrus
imprint,cihebus
embryo,cihius
to suck,cilor
to insert,cimor
to incubate,cinicor
incubator,cinicos
to move in,cinicror
prisoner,ciniora
prison,cinios
induction,cinirus
imprisonment,cinirus
inductive,cinon
to show,cinor
to induce,cinor
to imprison,cinor
beautiful,cinos
inductor,cinos
to see,cior
to immerse,ciperor
immersion,ciperus
to impose,ciror
imposition,cirorus
impostor,ciros
vision / view,cirus
to write,ciscoror
writer,ciscoros
writing,ciscorrus
information,ciunirus
to inform,ciunor
sight,cius
to accept,civixor
man,clior
male,clioros
twig,cluivi
branch,cluivion
data,clura
database,cluriu
crime,cluthi
to commit a crime,cluthor
criminal,cluthos
seven,cod
seven hundred,cod carax
seven hundred times,cod caraxis
seven hundredth,cod caraxos
seven thousand,cod meti
seven thousand times,cod metiis
seven thousandth,cod metios
seventy,codax
seventy eight times,codax abris
seventy eight,codax abro
seventy eighth,codax abros
seventy six,codax bei
seventy six times,codax beiis
seventy sixth,codax beios
seventy seven,codax cod
seventy seven times,codax codis
seventy seventh,codax codos
seventy one times,codax iratis
seventy first,codax iratos
seventy nine,codax iura
seventy nine times,codax iuris
seventy ninth,codax iuros
seventy three times,codax mis
seventy three,codax mo
seventy third,codax mos
seventy one,codax no
seventy five,codax poma
seventy five times,codax pomis
seventy fifth,codax pomos
seventy two,codax rax
seventy two times,codax raxis
seventy second,codax raxos
seventy four,codax seni
seventy fourth,codax senios
seventy four times,codax senis
seventy times,codaxis
seventieth,codaxos
seven times,codis
seventh,codos
stench / stink,cohithi
stinky,cohithon
to stink,cohithor
to smell,cohor
seventeen,comax
seventeen times,comaxis
seventeenth,comaxos
smoke,conni
smudge / dirt,connion
dirty,connionos
vape,connivi
to smoke,connor
more,cranos
most,cratos
so / such,cui
lack,cui
need,cuini
needy,cuinios
to need,cuinor
to lack,cuior
poor,cuios
to open,culnor
to break,culvor
piece,culvus
crazy,dandros
coastal,daniollos
coast,danios
to close,danithor
to bend,danor
bad,danos
back,danus
to end,dascor
flexible,dastos
limit,dathra
to limit,dathrascor
limited,dathrascos
border,dathrion
to border,dathriscor
end,dathus
carrier,davos
car,des
here,dios
load,doni
burden,doniamo
to burden,doniascor
to load,donor
worse,donos
to carry / bear,dor
this,dos
bearable,dostos
control,dothi
to control,dothor
controller,dothos
worst,dotos
now,dusia
me,e
dawn,ecri
eastern,ecrillos
early,ecrios
east,ecrios
to dawn,ecror
forgery,efica
to forge,efithor
to melt,efor
fusion,efrus
she / it,eix
her / it,eixas
air,ela
to blow,elor
blower,elos
to hold,emior
sure,emios
okay,emis
to ensure,emivor
to slow down,emmernuor
slow,emmeron
to be slow,emmeror
drowsy,emmevon
to drowse,emmevor
to become,emmicor
observation,emminirus
observant,emminon
to observe,emminor
interest,emplici
to be interested,emplicor
to play,emplior
casino,emplios
to read,emprator
reader,empratos
reading,empratrus
luck,empria
lucky,emprios
to fold,emprithor
to happen,empror
to hear,encador
obedient,encathon
to obey,encathor
to evaporate,encelor
robotic,enciallos
to serve,encior
robot,encios
nightmare,encitamo
balance,encitia
to weigh,encitor
heavy,encitos
weight,encitus
to miss,encuior
to bring,endor
physically,enellis
physical,enellos
body,enes
corporation,enesion
corporate,enesionos
somatic,enesos
existent,enon
to be / exist,enor
curious,enstavon
to learn,enstavor
freezing,entunon
to freeze,entunor
to be cold,entuor
to relax,envelor
ice,enves
to engrave / record,envesor
icy,envesos
behavior,envixirus
to behave,envixor
nice / cool,envos
pulse,envumi
to pulse,envumor
pain,epa
painfully,epabis
painful,epabos
painless,epasios
harm,epi
sin,epia
to sin,epiascor
sinner,epiascos
harmful,epibos
blame,epini
to blame,epinor
harmless,episios
to suffer,epithor
sorry,epithos
suffering,epithrus
to hurt,epor
water,era
electronic,erama
electroencephalography,eramafeciscorrus
energy,eramo
electricity,eramora
electric,eramoros
money,eres
bank,eresiu
liquid,erion
chemistry,erionia
chemical,erionios
humid,erivos
current,eron
to flow,eror
wet,eros
fluid,erros
cloud,erues
cloudy,eruesos
rain,erui
to rain,eruor
life,etia
young,etiamos
vital,etios
lifeform,etiuni
biology,etivonia
biological,etivonios
alive,eton
to live,etor
I,evas
my / mine,examos
to brighten,examuor
day,exia
date,exiara
to clean,exnor
clean,exnos
shiny,exon
metal,exona
metallic,exonos
to shine,exor
ray,exos
to blind,extor
blind,extos
mind,feja
mindful,fejabos
mental,fejos
bomb,feles
to bomb,felescor
bombing,felescrus
explosion,felirus
explosive,felon
to blow out / explode,felor
to think,feor
brain,fes
to break out,ficulvor
exclusive,fidinithon
to exclude,fidinithor
exclusion,fidinithrus
expense,fienciti
expensive,fienciton
to spend / expend,fiencitor
commentary / comment,fifei
to comment,fifeor
to wear out,fifoscor
evaluation,fihiunirus
to evaluate,fihiunor
expressive,fihubon
to express / print,fihubor
printer,fihubos
expression / printing,fihubrus
evolutionary,filumiros
evolution,filumirus
to evolve,filumor
to imitate,fimecniscor
imitation,fimecniscrus
escape,fina
to abandon,finastor
abandonment,finastrus
to disappear,finauthor
exchange,finicni
to exchange,finicnor
to move out,finicror
to throw out,finor
to escape,finor
trash / junk,finus
to emerge,fiperor
emergence,fiperrus
choice,firati
to choose,firator
imaginative,fithon
to find out,fithor
to imagine,fithor
imagination,fithrus
to experience,fitor
to accomplish,fiuccaor
accomplishment,fiuccarus
trigger,fiveli
to trigger,fivelor
to cut out,fivesor
to pull out,fivumbror
appearance,fixi
image,fixia
to look like,fixor
trait,fixus
to erect,flacor
erect,flacos
erection,flacrus
rebel,flunca
to stand out,flunor
boss,flura
to rebel,fluscor
rebellion,fluscrus
head,fluvi
main,fluvios
capital,fluvios
to achieve,fluviscor
achievement,fluviscrus
airplane,fobisces
to fly,fobiscor
to spread out,fobithor
wing,fobithus
egg,focra
clothing / clothes,foma
web,fomi
filter,fomivi
to filter,fomiviscor
filtration,fomiviscrus
to weave,fomor
screen,fomus
education,fonirus
educational,fonon
to educate,fonor
educator,fonos
exclamation,fornirus
to exclaim,fornor
bird,foscivi
to wear,foscor
to emit,fothor
emission,fothrus
to excuse,frinor
to expose,fror
exposition,frorus
exposure,frus
rate,fus
alone,haramos
lonely,harancos
only / just,haris
to save,harithor
safe,harithos
savior,harithos
holy,harnon
to heal,harnor
sane,harnos
to be whole,haror
whole,harros
pure,hartos
to purify,hartuor
purifier,hartuos
to crush,hebithor
pill,hebithos
to press,hebor
tree,hia
wood,hiara
penis / cock,hiarca
weed,hinion
to raise,hinor
child,hinvi
childhood,hinvia
childish,hinvios
grass,hion
to grow,hior
bush,hiora
big,hios
high,hiros
much,his
religion,hiunithia
religiously,hiunithiabis
religious,hiunithiabos
to worship,hiunithor
to value,hiunor
to earn / deserve,hiuror
profitable,hiurubos
profit,hiurus
adult,hius
brave,hiuthon
to be brave,hiuthor
cost,hiva
to cost,hivascor
worth,hivi
worthy,hivios
to be worth,hivor
of,i
wealth,ia
wealthy,iabos
beyond,ici
there,icios
until,icus
then,icusia
gun,idres
machine gun,idrithes
to shoot with a machine gun,idrithor
to shoot,idror
out / out of,ifi
dummy,ilitha
silent,ilithon
to be silent,ilithor
soft,illos
to defend,illumbruor
defense,illumbrus
to soften,ilnor
to be soft,ilor
against,in
they,ina
them,inae
kind / gentle,incios
species,incira
to specify,incirascor
specification,incirascrus
specially,inciris
special,inciros
kind / type,incis
baby,incivi
to be born,incor
born,incos
birth,incus
box,ines
chest,inesiu
oppressive,inhebon
to oppress,inhebor
oppressed,inhebos
oppression,inhebrus
addictive,inithon
addicted,inithos
addiction,inithrus
to give birth,innor
natural,innuos
nature,innus
their,ino
to throw,inor
to compare,inosor
capable,instos
for / before,ir
why / wherefore,ira
whyever / whysoever,iraros
from,irat
front,irata
primitive,iratamos
to confront,iratascor
confrontation,iratascrus
prototypical,iratincios
prototype,iratincis
once,iratis
to be first,irator
first,iratos
frontal,iratos
herefore,irdos
present,irenon
to be present,irenor
proclamation,irernirus
to proclaim,irernor
in front of,iri
therefore,iric
twin,irincos
trial,irini
production,irinirus
productive,irinon
to produce,irinor
to try,irinor
producer,irinos
product,irinus
to forbid,irior
forbidden,irios
at the same place,irios
somewhy / for some reason,irirnos
someone / somebody,irnios
somewhere,irnios
simulation,irnirus
to simulate,irnor
some,irnos
simulator,irnos
sex simulator,irnos miosiu
somehow,irnuios
to proceed,irnuor
process,irnus
sometime / somewhen,irnusia
to be equal,iror
same,iros
promising,irothon
to promise,irothor
promise,irothrus
elsewise / in contrary,irprios
on purpose / deliberately,irreis
deliberate,irreos
purpose,irroi
to propose,irror
proposition,irrorus
equal,irros
preparation,irrumirus
to prepare,irrumor
ready,irrumos
proposal,irrus
not at all / little / nohow / not in the least / nowise,irsi
shop,irthosios
to sell,irthosor
at the same time,irusia
in the same way,irvios
to have to / must,ithor
nine,iura
nine hundred,iura carax
nine hundred times,iura caraxis
nine hundredth,iura caraxos
nine thousand,iura meti
nine thousand times,iura metiis
nine thousandth,iura metios
nineteen,iuramax
nineteen times,iuramaxis
nineteenth,iuramaxos
ninety,iurax
ninety eight times,iurax abris
ninety eight,iurax abro
ninety eighth,iurax abros
ninety six,iurax bei
ninety six times,iurax beiis
ninety sixth,iurax beios
ninety seven,iurax cod
ninety seven times,iurax codis
ninety seventh,iurax codos
ninety one times,iurax iratis
ninety first,iurax iratos
ninety nine,iurax iura
ninety nine times,iurax iuris
ninety ninth,iurax iuros
ninety three times,iurax mis
ninety three,iurax mo
ninety third,iurax mos
ninety one,iurax no
ninety five,iurax poma
ninety five times,iurax pomis
ninety fifth,iurax pomos
ninety two,iurax rax
ninety two times,iurax raxis
ninety second,iurax raxos
ninety four,iurax seni
ninety fourth,iurax senios
ninety four times,iurax senis
ninety times,iuraxis
ninetieth,iuraxos
nine times,iuris
ninth,iuros
he / it,ix
him,ixas
his / its,ixu
lie,jala
evil,jalamo
to deceive,jalithor
deceitful,jalithos
deceit,jalithus
lying,jalor
liar,jalos
dupe,jalthos
to seek,janor
to have,jor
social,josallos
counterfeit,josca
match,josni
to match,josnor
to pair,josor
partner,josos
able,jostos
similar,jostra
facsimile,jostraca
with,ju
completely,juccais
to condensate,juccamuor
condensation,juccamurus
to complete,juccaor
complete,juccaos
within,jucci
collapse,jucculvi
to collapse,jucculvor
conclusive,judinithon
to conclude,judinithor
conclusion,judinithrus
to consider,juffeor
consideration,jufferus
compressive,juhhebon
to compress,juhhebor
compression,juhhebrus
instrument,jullides
instrumental,jullidesos
to build,jullidor
building,jullidus
to conquer,jullinithor
to correct,julllicor
correct,julllicos
correction,julllicrus
system,julluni
systematic,jullunios
to stand with,jullunor
to consume,junnauthor
consumer,junnauthos
consumption,junnauthrus
contact,junnuni
to contact,junnunor
to connect,juppathor
connection,juppathrus
apartment,jusion
common,juson
to communicate,jusoscor
communication,jusoscrus
company,jusseli
to accompany,jusselor
to comprehend,jutharvor
confusing,juthefon
to confuse,juthefor
confused,juthefos
confusion,juthefrus
alloy,juthefus
to complicate,juthemprithor
complicated,juthemprithos
consistent,juthenon
to consist,juthenor
competitive,jutheron
competitivity,jutherona
to harmonize,jutheror
to compete,jutheror
competitor,jutheros
competition,jutherrus
conduction,juthinirus
conductive,juthinon
to conduct,juthinor
conductor,juthinos
to contain,juthor
container,juthos
to buy,juthosor
to commit,juthothor
commitment,juthothrus
to work together,juthramnor
fellow,juthramnos
collective,juthraton
to collect,juthrator
collector,juthratos
collection,juthratrus
component,juthron
to compose,juthror
to concentrate,juthubascar
concentration,juthubascrus
conformation,juthunirus
to conform,juthunor
content,juthus
tribe,juvelis
tribal,juvelos
to confirm,juveruor
confirmation,juveruos
to participate / take part,juvescor
participation,juvescrus
particle,juvesivi
particular,juvesivios
particularly,juvesivis
to share,juvesor
part,juvesus
correspondent,juvevion
to correspond,juvevior
yes,juvi
confident,juvicnon
to confide / entrust,juvicnor
to agree,juviuscor
agreement,juviuscrus
to contract,juvumbror
contraction,juvumbrus
to straighten,lacor
norm / rule,lacthi
normal,lacthios
normally,lacthis
district,lacthoios
to rule,lacthor
ruler,lacthos
right,lacus
wall,lada
skyscraper,ladamos
to pile up,lador
lust,ladri
lustful,ladribos
to lust after,ladror
column / pillar,ladus
environment,lambria
environmental,lambrios
round,lambros
fence,lambrues
circumference,lambrui
to surround,lambruor
circular,lambruos
circle,lambrus
to circle,lambruscor
circulation,lambruscrus
valve,lames
to roll,lamor
desire,lana
victory,lanithaja
victorious,lanithajos
win,lanithi
to win,lanithor
winner,lanithos
to desire,lanor
desireable,lastos
to have the right,laxor
hope,lecni
hopeful,lecnios
hopefully,lecnis
to hope,lecnor
to want,lecor
to ask,lecror
question,lecrus
to question,lecruscor
questionable,lecrustos
luxury,lecthamo
luxurious,lecthamos
wish,lecthi
wishful,lecthios
to wish,lecthor
tablet,leivi
table,leva
stage,levia
to stay,levor
state,levus
jump / leap,lia
spring / fountain / well / source,liavos
old,lindros
eternity,linnamo
eternal,linnamos
age,linni
worldly / sophisticated,linniora
world,linnios
to age,linnor
to be old,linor
to jump / leap,lior
woman,lirion
female,lirionos
murder,lunca
murderous,luncos
to stand,lunor
to murder,lunxor
murderer,lunxos
to lay against,manicnor
objective,manicnos
object,manicnus
to help,manor
help,manus
contagious,marnon
to infect,marnor
to be sick / ill,maror
to oppose,maror
opposition,marorus
opposite,maros
sick / ill,marros
dance,mavi
club,mavios
to dance,mavor
ten,max
ten times,maxis
tenth,maxos
verse / side,mecni
version / copy,mecnion
to copy,mecniscor
to flip,mecnor
to turn,mecor
storm,mecthi
weather,mecthion
temperature,mecthiora
to twist,mecthor
wire,mecthus
snow,mefi
to snow,mefor
spirit / soul,melia
ghost,melica
spiritual,melios
to breathe,melor
animal,melos
presidency,menaja
city,menithi
politics,menithia
politician,menithion
political,menithios
to settle,menithor
to sit,menor
president,menos
damage,mepi
damaging,mepon
to damage,mepor
boat / ship,meres
vagina,meresca
island,merios
to isolate,meriscor
to swim,meror
torture,methi
to torture,methor
torturer,methos
one thousand,meti
one million times,metiamis
one million,metiamo
one millionth,metiamos
one thousand times,metiis
one thousandth,metios
millimeter,metipes / mp.
sand,metivi
to grind,metor
sleep,mevi
area / arena,mevios
to sleep,mevor
to seem,mexor
to rise,mhinor
wait,mini
attentive,minithon
to pay attention,minithor
attention,minithrus
patient,minon
to wait,minon
sex,minor
to have sex,miosi
three times,miosor
to push,mis
offspring,mithor
to climb,mithus
climber,mnathor
to function,mnathos
to rest,mnici
bothersome,mnicior
to stir / bother,mnicon
angry,mnicor
secret,mnicos
orgy,mnitios
to hide,mnitira
dark,mnitor
to darken,mnitos
originally,mnituor
to come,mnuis
original,mnuor
origin,mnuos
to originate,mnus
three,mnuscor
three hundred,mo
three hundred times,mo carax
three hundredth,mo caraxis
three thousand,mo caraxos
three thousand times,mo meti
three thousandth,mo metiis
thirteen,mo metios
thirteen times,momax
thirteenth,momaxis
3D,momaxos
to give,moperus
third,mor
thirty,mos
thirty eight times,mox
thirty eight,mox abris
thirty eighth,mox abro
thirty six,mox abros
thirty six times,mox bei
thirty sixth,mox beiis
thirty seven,mox beios
thirty seven times,mox cod
thirty seventh,mox codis
thirty one times,mox codos
thirty first,mox iratis
thirty nine,mox iratos
thirty nine times,mox iura
thirty ninth,mox iuris
thirty three times,mox iuros
thirty three,mox mis
thirty third,mox mo
thirty one,mox mos
thirty five,mox no
thirty five times,mox poma
thirty fifth,mox pomis
thirty two,mox pomos
thirty two times,mox rax
thirty second,mox raxis
thirty four,mox raxos
thirty fourth,mox seni
thirty four times,mox senios
thirty times,mox senis
thirtieth,moxis
gift,moxos
talent,mus
talented,muscia
to gift,muscios
dream,muscor
hallucination,muthi
hallucinating,muthnirus
to hallucinate,muthnon
to dream,muthnor
without,muthor
lower,na
lowest,nacnanos
to lay,nacnatos
low,nacnor
legally,nacnos
legal,nacnullis
law,nacnuos
lie down,nacnus
western,nacor
west,naminillos
night,naminios
sky,namion
to leave,namo
meat,nastor
to stick,natha
to be sticky,nathnor
to empty,nathor
empty,naunor
waste,nauros
wasteland,nauthi
to waste,nauthios
desertic,nauthor
desert,naviora
temple,navios
godly,navis
to be empty,navollos
god,navor
moon,navos
month,neamo
monthly,neamora
cop,neamoros
feeling,neca
to feel,nefa
use,nefor
useful,nelli
usual,nellibos
usually,nellios
useless,nellis
abuse,nellisios
to abuse,nellithi
abuser,nellithor
to use,nellithos
to measure,nellor
to like,neor
to prove,nerithor
to please,nernor
to enjoy,nernor
master,neror
masterly,nerra
to master,nerrallos
welcome,nerrascor
good,nerris
to be good,nerros
roof,nerruor
rule,nes
library,nes
book,nescios
chamber,nescus
camera,nesion
lid,nesnivi
skin,neta
to peel,netes
police,netescor
to protect,nethaja
policeman / policewoman,nethor
protection,nethos
slum,nethrus
room,netica
cell,netios
to cover,netivi
black,netor
shadow,netos
to catch,netus
shell,nior
to calculate,nivi
calculator,niviscor
calculation,niviscos
one,niviscrus
either,no
grail,noax
change,nociu
to change,nocni
to mix,nocnor
to move,nocor
movement / moment,nocror
trade,nocrus
commercial,nocthi
market,nocthios
black market,nocthios
to trade,nocthios netuos
mixture,nocthor
anything / whatever / whatsoever / something,nocus
anywhere / wherever / wheresoever,noes
hi,noios
eleven,nom
eleven times,nomax
eleventh,nomaxis
simply,nomaxos
simple,nomprithis
yet,nomprithos
anyone / anybody / whoever / whosoever,non
to do,nonios
amazing,nor
to amaze,nornon
any,nornor
anytime / anywhen / whenever / whensoever,nos
anyhow / however / howsoever,nousia
or,novios
step / degree,nox
to sharpen,nua
to be sharp,nucnor
sharp,nucor
closer,nucros
base,nuinos
basically,nuion
basic,nuionis
ground,nuionos
to base,nuios
alley,nuiscor
exactly,nuithama
narrow,nuithamis
to approach,nuithamos
near,nuithor
neighbor,nuithos
neighborhood,nuithra
next,nuithralis
finger,nuitos
to point,nunes
digital,nunescor
to digitalize,nunion
to touch,nunionuor
to step,nunor
track,nuor
to track,nus
tracker,nuscor
acid,nuscos
band,nuxtos
to spread,obi
bacteria,obithor
bacterial,obivi
to stretch,obivios
long,obor
to lengthen,obos
tube,obuor
and,obus
to transmit,od
transmitter,odor
road,odos
way,oiamo
to drive,oios
to kill,oithor
killer,oithus
death,olunor
deadly,olunos
to die,olvia
dead,olvios
dictatorship,olvor
to dictate,olvos
dictator,omithaja
to say,omithor
government,omithos
to lead,omor
further,onia
to continue,onor
continuation,onos
to go,onos
sound,onuor
hello,onurus
to call,or
clear,ora
class,ornom
to sound,ornor
through,ornos
far,ornus
preservation,oror
to preserve,os
transparent,os
transparisteel,osanirus
to look through,osanor
to cut open,oscion
translation,osciona
to translate,oscior
translator,osculnor
knife,osinirus
piercing,osinor
to go through / pierce,osinos
permissive,osoes
to allow,osoi
permission,osor
stain,osothon
stainless,osothor
performance,osothrus
to perform,osuca
point,osucasios
paint,osunirus
to paint,osunor
painter,osus
painting,osusces
missile,osuscor
to send,osuscos
mission,osuscus
furthest,othon
bottom,othor
to dive,othrus
deep,otos
to deepen,parios
ally,paror
alliance,paros
to ally,paruor
neuron,pasti
chain,pastia
to chain,pastor
neurotransmitter,patha
to bind,pathes
bridge,pathescor
bond,pathodos
corpse,pathor
to rot,pathos
rotten,pathus
though / although,pella
if,pellor
to fell,pellus
to fall,penerris
dimension / measurement,peor
meter,per
five,pernor
five hundred,peror
five hundred times,perus
five hundredth,pes / p.
five thousand,poma
five thousand times,poma carax
five thousandth,poma caraxis
fifteen,poma caraxos
fifteen times,poma meti
fifteenth,poma metiis
five times,poma metios
fifth,pomax
fifty,pomaxis
fifty eight times,pomaxos
fifty eight,pomis
fifty eighth,pomos
fifty six,pons
fifty six times,pons abris
fifty sixth,pons abro
fifty seven,pons abros
fifty seven times,pons bei
fifty seventh,pons beiis
fifty one times,pons beios
fifty first,pons cod
fifty nine,pons codis
fifty nine times,pons codos
fifty ninth,pons iratis
fifty three times,pons iratos
fifty three,pons iura
fifty third,pons iuris
fifty one,pons iuros
fifty fifty,pons mis
fifty fifty times,pons mo
fifty two,pons mos
fifty two times,pons no
fifty second,pons poma
fifty four,pons pomis
fifty fourth,pons pomos
fifty four times,pons rax
fifty times,pons raxis
fiftieth,pons raxos
something else / else / other,pons seni
elsewhere,pons senios
another / someone else / somebody else,pons senis
other,ponsis
to fail,ponsos
failure,pries
elsewhen / another time,priios
otherwise,prinios
action,prios
active,prithor
to act,prithus
act,priusia
you,privios
twelve,rae
twelve times,rae
twelfth,rae
fast,rai
to falsify,rai
false / fake,ramax
organic,ramaxis
organ,ramaxos
work,rambros
organism,ramithor
at work,ramithos
busy,ramnellos
to work,ramnes
worker,ramni
to make,ramnia
thing / stuff,ramnis
real,ramnon
twenty,ramnos
twenty eight times,ramor
twenty eight,ranca
twenty eighth,rancion
twenty six,ras
twenty six times,rasax
twenty sixth,rasax abris
twenty seven,rasax abro
twenty seven times,rasax abros
twenty seventh,rasax bei
twenty one times,rasax beiis
twenty first,rasax beios
twenty nine,rasax cod
twenty nine times,rasax codis
twenty ninth,rasax codos
twenty three times,rasax iratis
twenty three,rasax iratos
twenty third,rasax iura
twenty one,rasax iuris
twenty five,rasax iuros
twenty five times,rasax mis
twenty fifth,rasax mo
twenty two,rasax mos
twenty two times,rasax no
twenty second,rasax poma
twenty four,rasax pomis
twenty fourth,rasax pomos
twenty four times,rasax rax
twenty times,rasax raxis
twentieth,rasax raxos
easy,rasax seni
harvest,rasax senios
harvest ready,rasax senis
to harvest,rasaxis
to pluck,rasaxos
together,rastos
molecule,rathi
molecular,rathirrumos
to gather,rathiscor
crowded / crammed / frequent / repeated,rathor
to put together,ratis
mass,rativi
two,rator
two hundred,ratos
two hundred times,ratror
two hundredth,ratus
two thousand,rau
two thousand times,rax
two thousandth,rax carax
device,rax caraxis
division,rax caraxos
to divide,rax meti
wide,rax metiis
twice,rax metios
second,raxesi
to duplicate,raxesirus
duplicate,raxesor
duplication,raxesos
between,raxis
tool,raxos
condition,riai
to cause,riaix
country,riax
land,rini
plant,rinor
cultivation,rio
to plant,riox
cultural,risiamo
culture,rision
place,ritha
field,rithascirus
to place,rithascor
to flatten,rithascos
to be flat,rithascus
flat,rithion
to put,rithiscor
steel,rithnor
force,rithor
to force,rithros
ammunition,rix
strong,ror
to strengthen,scama
windy,scamia
wind,scamiascor
to ventilate,scamivi
ventilation,scamos
brother,scamuor
to bleed,scinallos
cruel,scinor
blood,scinos
to swell,scinoscor
sign,scinoscrus
to tear,scithiros
to scratch,scithor
mouth,scithos
muzzle,scithus
to muzzle,scor
uncle,scori
grandfather,scorithor
father,scoror
food,seles
to feed,selesca
giant,selescor
to eat,sellomo
four,sellos
four hundred,selni
four hundred times,selnor
four hundredth,seloca
four thousand,selocos
four thousand times,selor
